category,sub_category,sku,parentSku,bulk,variant_name,displayName,grossWeight,netWeight,itemQty,,mongodb_displayName,isCorrect_displayName,mongodb_parentSku,isCorrect_parentSku,mongodb_variant_name,isCorrect_variant_name,mongodb_grossWeight,isCorrect_grossWeight,mongodb_netWeight,isCorrect_netWeight,mongodb_itemQty,isCorrect_itemQty,mongodb_category,isCorrect_category,mongodb_sub_category,isCorrect_sub_category,mongodb_bulk,isCorrect_bulk,mismatch_fields,,parentSku,mongodb_parentSku,isCorrect_parentSku
Fertilizer,Bio Fertilizer,K-69,K-69,BK-917,1 Ltr x 1,Katyayani Rhizobium spp 1 Ltr x 1,1.1,1,1,,Rhizobium spp 1 Ltr x 1,false,K-69,true,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-917,true,displayName,,K-69,K-69,true
Fertilizer,Bio Fertilizer,K-70,K-69,BK-917,1 Ltr x 3,Katyayani Rhizobium spp 1 Ltr x 3,3.3,3,3,,Rhizobium spp 1 Ltr x 3,false,K-69,true,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-917,true,displayName,,K-69,K-69,true
Fertilizer,Bio Fertilizer,K-71,K-69,BK-917,1 Ltr x 5,Katyayani Rhizobium spp 1 Ltr x 5,5.5,5,5,,Rhizobium spp 1 Ltr x 5,false,K-69,true,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-917,true,displayName,,K-69,K-69,true
Fertilizer,Bio Fertilizer,K-72,K-69,BK-917,1 Ltr x 10,Katyayani Rhizobium spp 1 Ltr x 10,11,10,10,,Rhizobium spp 1 Ltr x 10,false,K-69,true,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-917,true,displayName,,K-69,K-69,true
Fertilizer,Bio Fertilizer,K-5988,K-5988,BK-917,25LTR X 1,Katyayani Rhizobium spp 25LTR X 1,27.5,25,1,,Rhizobium spp 25LTR X 1,false,K-5988,true,25LTR X 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-917,true,displayName,,K-5988,K-5988,true
Fertilizer,Bio Fertilizer,K-73,K-73,BK-994,1 Ltr x 1,Katyayani Azotobacter spp 1 Ltr x 1,1.1,1,1,,Azotobacter spp 1 Ltr x 1,false,K-73,true,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-994,true,displayName,,K-73,K-73,true
Fertilizer,Bio Fertilizer,K-74,K-73,BK-994,1 Ltr x 3,Katyayani Azotobacter spp 1 Ltr x 3,3.3,3,3,,Azotobacter spp 1 Ltr x 3,false,K-73,true,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-994,true,displayName,,K-73,K-73,true
Fertilizer,Bio Fertilizer,K-75,K-73,BK-994,1 Ltr x 5,Katyayani Azotobacter spp 1 Ltr x 5,5.5,5,5,,Azotobacter spp 1 Ltr x 5,false,K-73,true,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-994,true,displayName,,K-73,K-73,true
Fertilizer,Bio Fertilizer,K-76,K-73,BK-994,1 Ltr x 10,Katyayani Azotobacter spp 1 Ltr x 10,11,10,10,,Azotobacter spp 1 Ltr x 10,false,K-73,true,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-994,true,displayName,,K-73,K-73,true
Fertilizer,Bio Fertilizer,K-6371,K-6371,BK-994,25 ltr x 1,Katyayani Azotobacter spp 25 ltr x 1,27.5,25,1,,Azotobacter spp 25 ltr x 1,false,K-6371,true,25 ltr x 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-994,true,displayName,,K-6371,K-6371,true
